nodeID,workerID,start_time,stop_time,task,return_code,file_path
h36n12,Worker-af5f284c-b39e-4348-b45d-93b21884cc39,1673626273.5630233,1673626281.8637514,preprocessing,0,Sphmag15G069200.1
h36n12,Worker-94224e31-1055-4a1d-94e7-339de42a72f5,1673626273.464991,1673626282.0601976,preprocessing,0,Sphmag10G032300.1
h36n12,Worker-7a822f8a-036a-4995-a619-bfb377779e2e,1673626273.5168002,1673626282.0716798,preprocessing,0,Sphmag13G100400.1
h36n12,Worker-499e4ccc-f916-4e15-b068-723fc71faca3,1673626273.5131092,1673626282.9461622,preprocessing,0,Sphmag02G028000.1
h36n12,Worker-0fc57a02-2983-4ac6-8e6d-3d5266abe976,1673626273.492863,1673626283.1287334,preprocessing,0,Sphmag05G090900.1
h36n12,Worker-f33bfee1-330d-402a-b789-73225ec36602,1673626273.512848,1673626283.810347,preprocessing,0,Sphmag03G064100.1
h36n12,Worker-25a5d660-2734-43fe-a30c-c24a3f48c7f5,1673626273.513028,1673626283.9353108,preprocessing,0,Sphmag13G013700.1
h36n12,Worker-e3390aa7-ea82-4de1-9ad3-7da516f59106,1673626273.562631,1673626283.9538279,preprocessing,0,Sphmag08G080300.1
h36n12,Worker-8880ecf0-027e-48db-93d8-a78e4aeb8a58,1673626273.5167942,1673626284.5884624,preprocessing,0,Sphmag15G092700.1
h36n13,Worker-7c6bc4a7-ed69-44e8-94e1-4706eaaed715,1673626276.3970351,1673626284.686002,preprocessing,0,Sphmag19G093100.1
h36n13,Worker-8b3a33c1-6815-4195-9e3d-2845a6a8811c,1673626276.3971796,1673626284.779767,preprocessing,0,Sphmag05G066700.1
h36n12,Worker-2009e77a-bfb0-46d2-a6da-aa13666eca6f,1673626273.5362997,1673626284.850435,preprocessing,0,Sphmag18G027800.1
h36n12,Worker-d9eda4bf-0aa1-4ae7-8f94-bfcca44039b9,1673626273.46499,1673626284.891777,preprocessing,0,Sphmag01G060700.1
h36n12,Worker-02860a1f-0848-499a-8323-2c5db35a7dfa,1673626273.5183752,1673626285.147093,preprocessing,0,Sphmag10G089000.1
h36n12,Worker-f40d3781-71ee-40b8-a112-c6bc57fa3bff,1673626273.5624957,1673626285.4344523,preprocessing,0,Sphmag05G013500.1
h36n12,Worker-22f157f9-5af6-4ba5-814f-bf094a713233,1673626273.4649858,1673626285.9737096,preprocessing,0,Sphmag17G087200.1
h36n13,Worker-c225c59a-b61b-467f-a0f7-79b85d1e64e9,1673626276.397467,1673626286.0051486,preprocessing,0,Sphmag08G112300.1
h36n13,Worker-9db26d36-6fe3-47c5-8a09-a4310e0eda3d,1673626276.3971171,1673626286.4043736,preprocessing,0,Sphmag16G095300.1
